a_lyric;a_music;lyric;title
Emilio Fresedo;José María Rizzuti;"Yo no tango tungo tengo, yo me ca ca cachen diez empieza el lio; es la luenga lunga lengua que se hamaca, que se araca atranca digo. Yo jamón, jamás la pata nunca mato, nunca meto qu'embromar; y pa' calma, colmo peso paso el día sin hablar. Yo lluvia, llave llevo treinta abriles sobre mí. Soy pobre y muy enredo, pero honrado de verdad; soy toro, no, soy tero, soy soltero y no soy gil, y pronto vento y piba he de casar. Por norma parlo poco porque peco por hablar; la viaje, vieja dice que su hijita no es pa' mí, que nato, nata, nota mi defecto mucho más y al ñudo es forcejear nació pa' mí. Tengo mecha, mucha cancha y aún sin pleto, plato, plata voy en fija si al casorio se me oponen. Yo me escupo, yo me escapo con la chiva con la chica digo y vale, que si el vento que si el vento es pa' mi mal de mi pucho, pecho sale el amor que he de brindar. ";El tarta
Ángel Villoldo;Ángel Villoldo;Aquí tienen a El Torito, el criollo más compadrito que ha pisao la población. Donde quiera me hago ver cuando llega la ocasión. Pa' la danza soy ladino, y en cualquier baile argentino donde yo me he presentao, al mozo más bailarín he dejao acobardao. Cuando hago una sentadita de aquéllas que yo sé hacer, es el disloque, señores, pues me tengo mucha fe. Mi cuerpo es como un resorte cuando me pongo a bailar, y en todas partes el premio a la fija sé ganar. Yo tengo una morochita que es muy pierna y comadrita en el arte de bailar, y tadavía no halló quién la pueda aventajar. Todo el mundo nos alaba y somos la yunta brava conocida por aquí, y nadie se presentó que nos pueda competir. En los bailes nacionales nadie nos puede igualar, pues yo y mi prenda formamos La pareja sin rival. Lo mismo bailamos tango que gato con relación, la zamacueca, el cielito, la huella y el pericón. ;El torito
Oscar Rubens (vals);Armando Pontier;Quién al oír los primeros compases del vals no ha tenido intención de bailar. Si hasta parece que el mundo en su eterno rodar girará al compás de algún vals. Si usted ha soñado en sus brazos poder estrechar a esa rubia que encanta al mirar. Juntos muy juntos los dos estarán si siguen el ritmo del vals. Soñar, dejarse arrullar, decir al oído palabras tan dulces que invitan a amar. Soñar, siguiendo el compás, cerrando los ojos muy cerca las bocas el sueño del vals. Sentir que nos aprisiona un perfume de amor. Que un ángel con voz de cielo nos roba el adiós. Soñar, siguiendo el compás que todo es distinto si entrega su alma al ritmo del vals. ;El vals soñador
 Charlo Letra: José González Castillo (vals);Charlo Letra: José González Castillo (vals);Al lánguido compás de un vals de Chopin, mi amor te confesé sin ver que más llamaba tu interés aquel vals. Por eso hoy mi canción va a su mismo compás, te llora como un bien que ya jamás verá mi corazón su vaivén. Fue como un loco volar de falena con giros y vueltas en torno al panal que nos deslumbra y nos llena de un dulce mareo sutil y fatal. Juntos mi pecho y tu seno, los dos corazones, latiendo a la par, fijo, impasible y sereno tu frío mirar. Quién me diría que toda la gloria de aquella gentil posesión, era la efímera coda que al vals se ponía mi loca ilusión. Dócil tu mano en mi mano. mi brazo oprimiendo tu talle liviano, y en tanto mi acento muriendo en el lento girar del valsear. Falena de salón. mi corazón también sus alas de ilusión quemó tenaz girando en aquel vals de Chopin. Borracho de pasión, y ciego de querer, se lanza a tu atracción sin ver que más que un alma en ti, mujer, hay un vals. ;El viejo vals
José Razzano;Julio Narrino;"Nunca trates de fallar las reglas del bebedor y arrimado a un mostrador yo te aconsejo muchacho: Hay que prenderse al vinacho, cuanto más tinto mejor. Nunca discutas con nadie por cuestiones de color: Si sale un escabiador diciéndote que es quebracho vos prendétele al vinacho, cuanto más tinto mejor. Cuando andes medio punteao porque acertaste un sport y estés en un comedor sea humilde o sea ricacho vos prendétele al vinacho, cuanto más tinto mejor. El whisky es pa los ingleses y el chateau para el ""dotor"" pa las chicas el licor y la grapa pal borracho vos prendétele al vinacho, cuanto más tinto mejor. Dicen que el fernet es muy bueno pal que siente algún dolor, la cerveza pal calor, leche fresca pal muchacho, vos prendétele al vinacho, cuanto más tinto mejor. Y si andás entreverado en los tientos del amor y ves que una chica en flor te da de su amor un cacho, vos prendétele al vinacho, cuanto más tinto mejor. Si ves que en una payada toma ginebra el cantor, el comisario, el ""dotor"" despreciala sin empacho vos prendétele al vinacho, cuanto más tinto mejor. Cuando andés medio cansado y no responda el motor, falto de acelerador porque ya no da el fortacho vos prendétele al vinacho , cuanto más tinto mejor. ";El vinacho
Manuel Romero;Juan D'Arienzo;Dicen los amigos que mi vino es triste, que no tengo aguante ya para el licor, que soy un maleta que ya no resiste de la caña brava ni el macho sabor... Y es que ya se ha muerto todo lo que existe y entre copas quiero matar mi rencor... Siempre estoy borracho desde que te fuiste, siempre estoy borracho... pero es de dolor... Amigos, a todos pido perdón si amargado y tristón lagrimeando me ven... Quiero domar mi emoción pero aflojo también como todo varón. Amigos, cuando se tiene un pesar dentro del corazón, no se puede evitar que el vino se vuelva pesado y llorón como el triste aletear de mi canción. Dicen los amigos que no soy el mismo, que hoy en cuanto bebo me da por no hablar, por arrinconarme con mi pesimismo y que hace ya tiempo no me oyen cantar... Y no saben ellos que no es la bebida sino que me faltan el aire y la luz, que en el alma llevo sangrando una herida y voy por la vida cargando mi cruz... ;El vino triste
Cátulo Castillo;Héctor Stamponi;"Llega tu recuerdo en torbellino, vuelve en el otoño a atardecer miro la garúa, y mientras miro, gira la cuchara de café. Del último café que tus labios con frío, pidieron esa vez con la voz de un suspiro. Recuerdo tu desdén, te evoco sin razón, te escucho sin que estés. ""Lo nuestro terminó"", dijiste en un adiós de azúcar y de hiel... ¡Lo mismo que el café, que el amor, que el olvido! Que el vértigo final de un rencor sin porqué... Y allí, con tu impiedad, me vi morir de pie, medí tu vanidad y entonces comprendí mi soledad sin para qué... Llovía y te ofrecí, ¡el último café! ";El último café
Cátulo Castillo;Aníbal Troilo;Lo vi lucero... y lo pensé crecido... Fue la llama feliz que nos llamaba. Se dio en la calle un paredón de olvido se dio en la noche un corazón de ochava Soñaba, ayer, la espera del silbido, y ayer, no más, pintaba de arrebol, con el grito total del alarido la soledad del último farol. ¡Farol!... Dolió tu llama fraternal igual a la tristeza del alcohol... Señal en la querella de la esquina y en la pena que adoquina tu dolor sin dejar huella... Tan alta la ciudad que nos dejó sin sol, que nos tapó la estrella del último farol. Dobló la esquina del amor dolido tras el salto mortal de la billarda. Yo esperé tanto la verdad que tarda ni me di cuenta que ya estaba herido. Me dijo: Adiós... adiós... ya sin sonido, su corazón de luna y caracol... Por la calle sin fin que va al olvido se fue llorando el último farol... ;El último farol
 Acho Manzi Letra: Homero Manzi;Acho Manzi Letra: Homero Manzi;"Las ruedas embarradas del último organito vendrán desde la tarde buscando el arrabal, con un caballo flaco y un rengo y un monito y un coro de muchachas vestidas de percal. Con pasos apagados elegirá la esquina donde se mezclan luces de luna y almacén para que bailen valses detrás de la hornacina la pálida marquesa y el pálido marqués. El último organito irá de puerta en puerta hasta encontrar la casa de la vecina muerta, de la vecina aquella que se cansó de amar; y allí molerá tangos para que llore el ciego, el ciego inconsolable del verso de Carriego, que fuma, fuma y fuma sentado en el umbral. Tendrá una caja blanca el último organito y el asma del otoño sacudirá su son, y adornarán sus tablas cabezas de angelitos y el eco de su piano será como un adiós. Saludarán su ausencia las novias encerradas abriendo las persianas detrás de su canción, y el último organito se perderá en la nada y el alma del suburbio se quedará sin voz. ";El último organito
Fernán Silva Valdés (milonga);Néstor Feria;"Tuve tropilla de un pelo yo también como el mejor; tropilla de pelo oscuro, mismito como el dolor. Oscuro como mis penas, oscura como mi suerte; en el pago la llamaban la tropilla de la Muerte. Cuatro pingos todos negros, justo como pa' un entierro; cuatro pingos todos negros, como pa' cinchar un muerto. Mas todos en su negrura tenían su pinta clara, como una estrella en la noche, como el lucero en el alba. Uno tenía el pico blanco, otro las manos vendada, otro, una estrella en la frente como manchao de esperanza, otro, con un lunarejo mismo en el medio del anca, como llevando pa' siempre enancada una luz mala. Vos china, sos negra de alma, negra como mis caballos; bien oscurita por dentro y con el cuerpo bien blanco... Blanco tu cuerpo y oscura como mis pingos, tu alma, parecés de mi tropilla, ¡perdoná la ""comparancia""!... ";En blanco y negro
Carlos Bahr;Manuel Sucher;Me has herido y la sangre de esa herida goteará sobre tu vida, sin cesar. Algún día sentirás en carne propia la crueldad con que hoy me azota tu impiedad... Y es posible que la mano que te hiera, vengadora o justiciera, por tu mal te devuelva golpe a golpe el sufrimiento, cuando estés en el momento en que el golpe duele más. En carne propia sentirás la angustia sorda de saber que aquél que amaste más, es quien te hiere... Será inútil que supliques por la gracia del perdón. Será en vano que pretendas esquivarte del dolor. Porque algún día, con la misma ruin moneda, con que pagan los que pagan mal, te pagarán. De rodillas te hincarás rogando al cielo, cuando sientas todo el peso del dolor. Tu amargura Será enorme y sin remedio, cuando pagues con el precio de tu horror... De rodillas llorarás en la agonía de tu noche enloquecida, sin perdón... Y en la angustia de tu cruel remordimiento, pasarás por el infierno que por ti he pasado yo. ;En carne propia
José María Contursi;Mariano Mores;¡Qué ganas de llorar en esta tarde gris! En su repiquetear la lluvia habla de ti... Remordimiento de saber que por mi culpa, nunca, vida, nunca te veré. Mis ojos al cerrar te ven igual que ayer, temblando, al implorar de nuevo mi querer... ¡Y hoy es tu voz que vuelve a mí en esta tarde gris! Ven triste me decías, que en esta soledad no puede más el alma mía... Ven y apiádate de mi dolor, que estoy cansada de llorarte, sufrir y esperarte y hablar siempre a solas con mi corazón. Ven, pues te quiero tanto, que si no vienes hoy voy a quedar ahogada en llanto... No, no puede ser que viva así, con este amor clavado en mí como una maldición. No supe comprender tu desesperación y alegre me alejé en alas de otro amor... ¡Qué solo y triste me encontré cuando me vi tan lejos y mi engaño comprobé! Mis ojos al cerrar te ven igual que ayer, temblando, al implorar de nuevo mi querer... ¡Y hoy es tu voz que sangra en mí, en esta tarde gris! ;En esta tarde gris
Eduardo Escaris Méndez;Nicolás Vaccaro;"A ver, che, mocito, portame cigarros... Y ensille ese vaso de nuevo, otra vez, que yo no me sumo con esos otarios que chupan de bronca, llorando después. Yo tomo el ricino sin pena ni agravio, que, al fin, a un disgusto lo mata un placer... ¡A qué andar con vueltas, si es largo el rosario, cortado al despecho por una mujer! Y, si llegase a añorarla porque, al final, la he querido, no he de arrumbarme, abatido, en un rincón del café, ni he de sacar un pañuelo para llevarlo a mis ojos, no he de llorar como un flojo porque en la vía quedé. ¿Se fue? ¡Mala suerte! Café y pan criollo... ¡Qué tanto merengue: ""Que vuelva la infiel""!... Si aquel que se arruga pidiendo socorro no es hombre ni tiene vergüenza con él... ¡Qué adiós, bulincito! ¡Qué adiós, aliviada! ¡El paco'e valerios, todo a ganador! ¡Paciencia, compadre! ¡No escupa la estrada! De vuelta al convento, no pase calor. ";En la vía
José Zubiría Mansilla;Francisco Pracánico;Sosegate que ya es tiempo de archivar tus ilusiones, dedicate a balconearla que pa' vos ya se acabó y es muy triste eso de verte esperando a la fulana con la pinta de un mateo desalquilado y tristón. No hay que hacerle, ya estás viejo, se acabaron los programas y hacés gracia con tus locos berretines de gavión. Ni te miran las muchachas y si alguna a vos te habla es pa' pedirte un consejo de baqueano en el amor. Qué querés, Cipriano, ya no das más jugo. Son cincuenta abriles que encima llevás. Junto con el pelo que fugó del mate se te fue la pinta que no vuelve más. Dejá las pebetas para los muchachos, esos platos fuertes no son para vos. Piantá del sereno, andate a la cama que después, mañana, andás con la tos. Enfundá la mandolina, ya no estás pa'serenatas, te aconseja la minusa que tenés en el bulín, dibujándote en la boca la atrevida cruz pagana con la punta perfumada de su lápiz de carmín... Han caído tus acciones en la rueda de grisetas y al compás del almanaque se deshoja tu ilusión, y ya todo te convida pa'ganar cuartel de invierno junto al tuego del recuerdo a la sombra de un rincón. ;Enfundá la mandolina 
